id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
10000507,KONOSUBA - God's Blessing on this Wonderful World! Love For These Clothes Of Desire!,2024-03-04T13:49:44.665916,PS4,Aventura,PQube Ltd,7/2/2024,Inglés,4.65,46 calificaciones,85 %,7 %,2 %,2 %,4 %,"49,99 €","49,99 €","49,99 €","49,99 €"
10004308,The Expanse: A Telltale Series,2024-03-04T13:49:46.420147,"PS4, PS5","Aventura, Aventura, Juegos de rol",Telltale,25/7/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Portugués (Brasil)",4.01,759 calificaciones,48 %,25 %,13 %,7 %,7 %,"24,99 €","24,99 €","24,99 €","24,99 €"
233715,Sakura Wars,2024-03-04T13:49:48.767887,PS4,"Acción, Aventura, Juegos de rol",SEGA EUROPE LTD,11/5/2020,"Alemán, Español, Francés (Francia), Inglés",4.56,2.889 calificaciones,77 %,12 %,5 %,2 %,4 %,"59,99 €","8,99 €","59,99 €","8,99 €"
200449,Battlefield 4™,2024-03-04T13:49:50.452939,PS4,"Acción, Juegos de disparos, Juegos de disparos",EA Swiss Sarl,28/11/2013,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.58,216.401 calificaciones,77 %,14 %,4 %,1 %,4 %,"19,99 €",Incluido,"19,99 €",Incluido
10007202,Hubris,2024-03-04T13:49:52.056978,PS5,Aventura,CYBORN BVBA,22/6/2023,"Alemán, Checo, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso",4.32,729 calificaciones,54 %,31 %,10 %,2 %,2 %,Gratis,Gratis,Gratis,Gratis
233993,Frostpunk: Console Edition,2024-03-04T13:49:53.951344,PS4,"Estrategia, Simulación, Estrategia",11 Bit Studios S.A.,10/10/2019,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco",4.61,3.289 calificaciones,79 %,12 %,4 %,2 %,4 %,"29,99 €","5,99 €","29,99 €",Incluido
10008168,Tennis On-Court,2024-03-04T13:49:55.688080,PS5,Deporte,PERPETUAL,17/10/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",3.79,119 calificaciones,45 %,21 %,15 %,8 %,12 %,"34,99 €","34,99 €","34,99 €","34,99 €"
10009590,Farm Tycoon,2024-03-04T13:49:57.392040,PS5,"Educativos, Simulación, Estrategia",PLAYWAY S.A,15/12/2023,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco",3.79,19 calificaciones,53 %,21 %,0 %,5 %,21 %,"19,99 €","19,99 €","19,99 €","19,99 €"
10001020,Swordsman VR,2024-03-04T13:49:59.138571,PS5,Lucha,SINN STUDIO INC.,21/2/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Japonés",4.03,2.406 calificaciones,57 %,17 %,9 %,4 %,13 %,"17,99 €","17,99 €","17,99 €","17,99 €"
10004877,Layers of Fear,2024-03-04T13:50:00.973280,PS5,Terror,BLOOBER TEAM S.A.,15/6/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Polaco, Portugués (Brasil), Ruso, Turco, Ucraniano",4.34,396 calificaciones,60 %,25 %,8 %,3 %,4 %,"29,99 €","29,99 €","29,99 €","29,99 €"
232682,ASTRO BOT Rescue Mission™,2024-03-04T13:50:02.949751,PS4,Acción,Sony Interactive Entertainment Europe,2/10/2018,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Danés, Español, Español (México), Finlandés, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Noruego, Polaco, Portugués (Brasil), Portugués (Portugal), Ruso, Sueco, Tailandés, Árabe",4.21,27.511 calificaciones,61 %,11 %,21 %,1 %,5 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10008804,CityDriver,2024-03-04T13:50:04.666798,PS5,Simulador,AEROSOFT GMBH,12/12/2023,"Alemán, Chino (Simplificado), Español, Francés (Francia), Húngaro, Inglés, Italiano, Japonés, Polaco",1.89,403 calificaciones,12 %,3 %,10 %,13 %,62 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10007229,Red Matter 2,2024-03-04T13:50:06.741394,PS5,"Acción, Aventura, Puzzle",VERTICAL ROBOT S.L.,17/5/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.82,1.257 calificaciones,86 %,10 %,3 %,1 %,0 %,"29,99 €","29,99 €","29,99 €","29,99 €"
222873,Ride 2,2024-03-04T13:50:08.450044,PS4,Conducción/Carreras,MILESTONE SRL,6/10/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.41,3.381 calificaciones,70 %,16 %,5 %,2 %,7 %,"29,99 €","2,99 €","29,99 €","2,99 €"
231876,THE LAST REMNANT Remastered,2024-03-04T13:50:09.921195,PS4,Juegos de rol,Square Enix LTD,6/12/2018,"Alemán, Español, Francés (Francia), Inglés, Italiano",4.58,2.107 calificaciones,78 %,12 %,3 %,2 %,4 %,"19,99 €","7,99 €","19,99 €","7,99 €"
221698,Gravity Rush™ 2,2024-03-04T13:50:11.634228,PS4,"Acción, Aventura",Sony Interactive Entertainment Europe,17/1/2017,"Alemán, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Portugal), Ruso",4.68,15.401 calificaciones,82 %,10 %,3 %,1 %,3 %,"39,99 €",Incluido,"39,99 €",Incluido
10001729,Dark Alliance,2024-03-04T13:50:13.707566,"PS4, PS5",Acción,Wizards of the Coast LLC,21/6/2021,"Alemán, Chino (Simplificado), Español, Francés (Francia), Inglés, Italiano, Portugués (Brasil), Ruso",3.34,1.468 calificaciones,43 %,12 %,9 %,9 %,27 %,"29,99 €","29,99 €","29,99 €","29,99 €"
234665,Marvel's Guardians of the Galaxy para PS4 y PS5,2024-03-04T13:50:15.386547,"PS4, PS5",Acción,Eidos Interactive Corp,25/10/2021,No hay información,4.58,13.507 calificaciones,74 %,17 %,4 %,1 %,3 %,"69,99 €",Incluido,"69,99 €",Incluido
10004021,FOAMSTARS,2024-03-04T13:50:16.892151,"PS4, PS5",Juegos de disparos,Square Enix LTD,6/2/2024,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés",3.31,9.286 calificaciones,42 %,12 %,10 %,8 %,28 %,Incluido,Incluido,Incluido,Incluido
205292,Wolfenstein: The New Order,2024-03-04T13:50:18.362655,PS4,"Aventura, Juegos de disparos, Juegos de disparos",Bethesda,19/5/2014,"Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.5,28.850 calificaciones,70 %,19 %,5 %,1 %,4 %,"19,99 €","4,99 €","19,99 €",Incluido
10001758,Trackmania®,2024-03-04T13:50:19.907005,"PS4, PS5",Conducción/Carreras,UBISOFT ENTERTAINMENT SA,14/5/2023,"Alemán, Checo, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés, Neerlandés, Polaco, Portugués (Brasil), Ruso, Turco",3.87,9.953 calificaciones,55 %,13 %,14 %,2 %,16 %,Gratis,Gratis,Gratis,Gratis
10004085,SBK™22 PS4 & PS5,2024-03-04T13:50:23.600117,"PS4, PS5",Conducción/Carreras,MILESTONE SRL,14/9/2022,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Tailandés",3.43,218 calificaciones,45 %,10 %,12 %,11 %,23 %,"39,99 €","39,99 €","39,99 €","39,99 €"
10002096,Heavenly Bodies,2024-03-04T13:50:25.354032,"PS4, PS5","Aventura, Únicos",2PT PTY LTD,7/12/2021,"Alemán, Chino (Simplificado), Chino (Tradicional), Coreano, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso, Árabe",4.15,4.028 calificaciones,65 %,12 %,6 %,4 %,12 %,"20,99 €","20,99 €","20,99 €","20,99 €"
202448,LEGO® Star Wars™: The Force Awakens,2024-03-04T13:50:27.898574,PS4,Acción,WARNER BROS. INTERACTIVE,27/6/2016,"Alemán, Danés, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Ruso",4.26,13.361 calificaciones,62 %,15 %,16 %,2 %,5 %,"69,99 €","9,79 €","69,99 €","9,79 €"
203219,Onechanbara Z2: Chaos,2024-03-04T13:50:29.847061,PS4,Acción,NIS America,28/8/2015,Inglés,4.39,3.509 calificaciones,65 %,19 %,9 %,3 %,4 %,"24,99 €","24,99 €","24,99 €","24,99 €"
201902,Heavy Rain™,2024-03-04T13:50:31.667933,PS4,"Acción, Aventura",Sony Interactive Entertainment Europe,1/3/2016,"Alemán, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Portugués (Portugal)",4.44,43.731 calificaciones,73 %,13 %,5 %,2 %,7 %,"29,99 €","11,99 €","29,99 €",Incluido
202496,LEGO® Batman™ 3: MÁS ALLÁ DE GOTHAM,2024-03-04T13:50:33.733756,PS4,"Acción, Acción, Aventura",WARNER BROS. INTERACTIVE,13/11/2014,"Alemán, Danés, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil), Ruso",4.33,14.341 calificaciones,67 %,15 %,9 %,2 %,7 %,"19,99 €",Incluido,"19,99 €",Incluido
10003851,Walkabout Mini Golf,2024-03-04T13:50:35.982873,PS5,"Casual, Deporte","Mighty Coconut, LLC",11/5/2023,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Japonés",4.81,1.060 calificaciones,87 %,10 %,2 %,1 %,1 %,"14,99 €","14,99 €","14,99 €","14,99 €"
228677,Batman: El Enemigo Dentro - Episode 1,2024-03-04T13:50:37.622017,PS4,Aventura,Telltale,7/8/2017,"Alemán, Chino (Simplificado), Chino (Tradicional), Español (México), Francés (Francia), Inglés, Portugués (Brasil), Ruso, Árabe",4.08,38.992 calificaciones,60 %,13 %,13 %,1 %,12 %,Gratis,Gratis,Gratis,Gratis
