id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
10010412,Turbo Skiddy Racing,2024-04-02T12:37:44.398043,PS4,ドライビング／レース,Benoit Varasse trading as Pix Arts,2024/2/16,英語,3,5件の評価,20％,20％,20％,20％,20％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
217997,DARIUSBURST Chronicle Saviours,2024-04-02T12:37:46.397649,PS4,"シューティング, シューティング",KADOKAWA CORPORATION,2016/1/14,No hay información,4.73,3105件の評価,83％,11％,3％,1％,2％,"¥6,380","¥6,380",No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10009562,Pinball Frenzy,2024-04-02T12:37:47.943841,PS4,アーケード,Benoit Varasse trading as Pix Arts,2023/10/13,英語,4,5件の評価,40％,20％,40％,0％,0％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10005288,フェアリーエレメンツ,2024-04-02T12:37:49.407845,"PS4, PS5",RPG,KEMCO,2022/8/31,日本語,3.48,23件の評価,35％,22％,13％,17％,13％,"¥1,320","¥1,320",No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10000490,ブイブイブイテューヌ,2024-04-02T12:37:51.014416,PS4,"アクション, RPG","IDEA FACTORY Co.,LTD.",2020/8/5,日本語,4.25,102件の評価,70％,10％,4％,9％,8％,"¥8,030","¥8,030",No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10001330,みんなの詰将棋 入門編,2024-04-02T12:37:52.317161,PS4,ファミリー,株式会社アンバランス,2020/12/23,日本語,4.61,18件の評価,89％,0％,0％,6％,6％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
233375,MotoGP™19,2024-04-02T12:37:53.649687,PS4,"ドライビング／レース, シミュレーション",Milestone,2019/9/25,No hay información,4.08,1380件の評価,63％,14％,6％,3％,14％,"¥2,970","¥2,970",No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10003911,LIT: Bend the Light,2024-04-02T12:37:55.043167,PS4,パズル,Dmitrii Milovidov trading as OverGamez,2022/9/16,"イタリア語, ギリシャ語, スペイン語, ドイツ語, フランス語 (フランス), ポーランド語, ロシア語, 日本語, 英語",3.08,12件の評価,33％,17％,0％,25％,25％,"¥1,100",¥660,¥550,No dispone de promoción extra,"['ゲーム本編', False, 'PS_PLUS', 'No hay información']",JAP
10005643,Roar of Revenge,2024-04-02T12:37:56.460875,"PS4, PS5","アクション, アクション, アクション",ラタライカゲームス,2022/9/22,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ロシア語, 日本語, 英語",4.25,64件の評価,59％,20％,11％,5％,5％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006579,Hit the Color,2024-04-02T12:37:57.794668,PS5,アドベンチャー,Webnetic s. r. o.,2023/11/9,英語,3.68,19件の評価,53％,5％,16％,11％,16％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10006949,Meteor Crusher,2024-04-02T12:37:59.226353,PS5,アドベンチャー,Webnetic s. r. o.,2023/11/23,英語,3.65,26件の評価,54％,8％,8％,12％,19％,¥275,¥275,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10008696,Quantum: Recharged,2024-04-02T12:38:00.745119,PS5,アーケード,ATARI,2023/8/16,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.07,14件の評価,43％,29％,21％,7％,0％,"¥1,100",¥550,¥440,No dispone de promoción extra,"['ゲーム本編', False, 'PS_PLUS', 'No hay información']",JAP
10006381,The Experiment: Escape Room,2024-04-02T12:38:02.048855,PS4,"アドベンチャー, パズル",ONSKULL DEVELOPMENT,2022/12/23,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ポルトガル), ロシア語, 中国語 (簡体字), 日本語, 英語",2.04,46件の評価,13％,7％,9％,15％,57％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10008053,Wild Seas,2024-04-02T12:38:03.329437,"PS4, PS5","アクション, カジュアル",Afil Games,2023/9/8,英語,3.31,13件の評価,31％,15％,31％,0％,23％,¥550,¥550,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10009211,Zombiezz,2024-04-02T12:38:04.775432,PS5,"アーケード, カジュアル",Smobile,2023/9/24,英語,3.88,16件の評価,56％,13％,13％,0％,19％,"¥1,100","¥1,100",No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10007557,Magic Exposure - Yuri Visual Novel PS4 & PS5,2024-04-02T12:38:06.161801,"PS4, PS5","アドベンチャー, その他, 成人",Eastasiasoft Limited,2023/7/24,"ポルトガル語 (ブラジル), 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語",4.21,34件の評価,74％,3％,9％,0％,15％,¥499,¥499,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
222897,Valhalla Hills：Definitive Edition,2024-04-02T12:38:07.580411,PS4,"シミュレーション, ストラテジー","H2 INTERACTIVE Co., Ltd.",2018/6/7,No hay información,3.31,202件の評価,35％,23％,8％,7％,27％,"¥2,090",¥313,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
10000679,Pity Pit,2024-04-02T12:38:10.171089,PS5,"アクション, アーケード, パズル",Eastasiasoft Limited,2022/4/7,英語,3.75,150件の評価,49％,8％,20％,16％,7％,¥499,¥149,No hay información,No dispone de promoción extra,"['ゲーム本編', True, 'No hay información', 'No hay información']",JAP
225231,キャスタウェイズ,2024-04-02T12:38:11.478953,PS4,"アクション, ファミリー, パーティー",M2H,2020/8/12,"アラビア語, イタリア語, オランダ語, スペイン語, トルコ語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポルトガル語 (ポルトガル), ポーランド語, ロシア語, 中国語 (簡体字), 日本語, 英語, 韓国語",3.75,211件の評価,51％,17％,8％,6％,18％,"¥1,210",¥363,No hay información,No dispone de promoción extra,"['ゲーム本編', False, 'No hay información', 'No hay información']",JAP
