id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original,Oferta,Oferta PSPlus,Otra promo diferente a PSPLUS,País Store
10003008,ミュージックレーサー：アルティメット,2024-05-21T12:40:06.503531,PS5,"リズムアクション, アーケード",EVGENIY KOLPAKOV,2022/5/26,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",3.92,74件の評価,55％,18％,7％,4％,16％,¥770,¥770,No hay información,No hay otra promoción,JAP
232411,Mutant Year Zero: Road to Eden,2024-05-21T12:40:07.680810,PS4,"アドベンチャー, ストラテジー, アドベンチャー",Funcom Oslo AS,2019/2/27,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ポーランド語, ロシア語, 中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.54,3110件の評価,73％,17％,4％,2％,4％,"¥3,666","¥3,666",No hay información,No hay otra promoción,JAP
10005411,ミラクルスイーツショップ,2024-05-21T12:40:08.940799,PS4,"アドベンチャー, シミュレーション","CFK Co., Ltd.",2023/1/25,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.35,48件の評価,73％,10％,4％,4％,8％,"¥2,178","¥2,178",No hay información,No hay otra promoción,JAP
232546,ミリオンアーサー アルカナブラッド,2024-05-21T12:40:10.083765,PS4,格闘,(株)スクウェア・エニックス,2018/11/29,No hay información,4.83,102件の評価,89％,7％,3％,0％,1％,"¥7,678","¥7,678",No hay información,No hay otra promoción,JAP
232878,みんなでカーニバル・ゲーム！,2024-05-21T12:40:11.308564,PS4,アクション,Take-Two Interactive Japan GK,2018/11/6,No hay información,3.05,256件の評価,35％,12％,12％,5％,36％,"¥4,888","¥4,888",No hay información,No hay otra promoción,JAP
233198,みんなの倉庫番,2024-05-21T12:40:12.590107,PS4,パズル,株式会社アンバランス,2019/8/29,No hay información,4.53,62件の評価,74％,11％,10％,3％,2％,"¥1,980","¥1,980",No hay información,No hay otra promoción,JAP
233877,みんなのどうぶつしょうぎ,2024-05-21T12:40:13.856903,PS4,ボードゲーム,株式会社シルバースタージャパン,2019/8/22,No hay información,5,2件の評価,100％,0％,0％,0％,0％,"¥4,752","¥4,752",No hay información,No hay otra promoción,JAP
10004656,無限回廊,2024-05-21T12:40:15.048059,"PS4, PS5",パズル,ソニー・インタラクティブエンタテインメント,2022/6/1,日本語,3.99,144件の評価,59％,13％,11％,3％,14％,"¥1,100","¥1,100",含まれます,No hay otra promoción,JAP
10003011,MUSICUS!,2024-05-21T12:40:16.471613,PS4,アドベンチャー,株式会社エンターグラム,2022/3/23,日本語,3.92,12件の評価,67％,8％,0％,0％,25％,"¥7,590","¥7,590",ゲームトライアル,No hay otra promoción,JAP
229211,ムラカ,2024-05-21T12:40:17.691411,PS4,"アクション, アクション, アドベンチャー","Intragames Co., Ltd.",2018/11/28,No hay información,4.31,188件の評価,61％,24％,5％,4％,5％,"¥2,138","¥2,138",No hay información,No hay otra promoción,JAP
232209,The Mooseman,2024-05-21T12:40:18.864895,PS5,"アーケード, アドベンチャー, その他",EVGENIY KOLPAKOV,2022/9/18,"ドイツ語, フランス語 (フランス), ロシア語, 英語",3.82,212件の評価,50％,14％,15％,8％,13％,¥770,¥770,No hay información,No hay otra promoción,JAP
221736,Moon Hunters (ムーンハンターズ),2024-05-21T12:40:20.043041,PS4,RPG,Kitfox Games,2017/2/9,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), ポルトガル語 (ブラジル), ロシア語, 日本語, 英語",4.22,527件の評価,57％,24％,10％,5％,5％,"¥1,527","¥1,527",No hay información,No hay otra promoción,JAP
10005685,ムーンライダー: ガーディアンの逆襲 (Vengeful Guardian: Moonrider),2024-05-21T12:40:21.190406,"PS4, PS5","アクション, シューティング","H2 INTERACTIVE CO., LTD.",2023/1/12,"中国語 (簡体字), 中国語 (繁体字), 日本語, 英語, 韓国語",4.55,94件の評価,76％,14％,4％,3％,3％,"¥2,420","¥2,420",No hay información,No hay otra promoción,JAP
230094,迷宮経営SLG -ZombieVital DG- OfflineVer,2024-05-21T12:40:22.379223,PS4,シミュレーション,メディアスケープ株式会社,2017/11/22,No hay información,4.3,50件の評価,58％,26％,6％,8％,2％,"¥1,426","¥1,426",No hay información,No hay otra promoción,JAP
234300,Making*Lovers,2024-05-21T12:40:23.541198,PS4,アドベンチャー,株式会社エンターグラム,2019/7/25,No hay información,4.75,65件の評価,85％,8％,6％,2％,0％,"¥6,091","¥6,091",No hay información,No hay otra promoción,JAP
10008037,The Making of Karateka PS4 & PS5,2024-05-21T12:40:25.636197,"PS4, PS5","アクション, アドベンチャー",Digital Eclipse Entertainment Partners Co.,2023/8/28,"イタリア語, スペイン語, ドイツ語, フランス語 (フランス), 日本語, 英語",4.84,57件の評価,91％,2％,7％,0％,0％,"¥2,310","¥2,310",No hay información,No hay otra promoción,JAP
