id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Promo_1,Promo_2,Promo_3,Etiqueta Precios,País Store
10007532,Revenge Of The Ronin,2024-04-02T14:41:04.878457,PS5,"Action, Action",Ronin Wolf Corp,12/1/2023,English,4,11 ratings,64%,9%,9%,0%,18%,$14.49,$14.49,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
230033,Reverie,2024-04-02T14:41:06.224398,PS4,"Action, Adventure",Rainbite Limited,5/10/2018,No hay información,4.32,303 ratings,58%,23%,14%,2%,3%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
10005808,Reverie: Sweet As Edition,2024-04-02T14:41:07.529130,PS5,Adventure,EastAsiaSoft,6/28/2023,"Chinese (Traditional), English, French (France), German, Japanese, Korean, Spanish",4.5,12 ratings,67%,17%,17%,0%,0%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
232272,Reverse Crawl,2024-04-02T14:41:08.827618,PS4,"Role Playing Games, Strategy, Strategy",Digerati Distribution,5/7/2019,No hay información,4.2,35 ratings,57%,23%,9%,6%,6%,$12.99,$12.99,No hay información,No dispone de promoción extra,"['Downloadable Game', False, 'No hay información', 'No hay información']",USA
229293,Revolve,2024-04-02T14:41:10.071209,PS4,"Action, Puzzle",Rusty Bolt BVBA,10/10/2017,No hay información,4.88,8 ratings,88%,13%,0%,0%,0%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10009224,Reydllom,2024-04-02T14:41:11.364568,PS4,"Action, Horror, Horror",EpiXR Games UG,12/1/2023,English,1.6,5 ratings,0%,20%,0%,0%,80%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10002334,Rhythm 'n Bullets,2024-04-02T14:41:12.603579,PS4,"Arcade, Music/Rhythm","DB Creations, Inc.",7/22/2021,"Chinese (Simplified), Chinese (Traditional), English, French (France), German, Italian, Japanese, Korean, Spanish",3.33,9 ratings,44%,0%,22%,11%,22%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
10008592,Richman 11,2024-04-02T14:41:14.241564,No hay información,"Casual, Family",EastAsiaSoft,4/19/2024,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No hay información,No dispone de promoción extra,"['No hay información', 'No hay información', 'No hay información', 'No hay información']",USA
10002164,RICO: London,2024-04-02T14:41:21.515267,PS4,Action,Aksys Games,12/9/2021,"Chinese (Simplified), Dutch, English, French (France), German, Japanese, Korean, Portuguese (Brazil), Spanish",3.08,37 ratings,38%,11%,5%,14%,32%,$49.99,$49.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
233560,Rift Keeper,2024-04-02T14:41:22.764070,PS4,"Action, Action, Role Playing Games",Evgeniy Kolpakov t/a Sometimes You,12/10/2019,No hay información,3.62,39 ratings,44%,15%,15%,10%,15%,$9.99,$9.99,No hay información,No dispone de promoción extra,"['Full Game', False, 'No hay información', 'No hay información']",USA
10001831,Rift Racoon PS4 & PS5,2024-04-02T14:41:24.067987,"PS4, PS5",Action,EastAsiaSoft,5/12/2021,English,3.49,61 ratings,52%,2%,11%,11%,23%,$4.99,$4.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
217556,RIGS Mechanized Combat League,2024-04-02T14:41:25.359811,PS4,"Action, Shooter, Sport",Sony Interactive Entertainment,10/13/2016,No hay información,4.04,6544 ratings,60%,13%,10%,3%,14%,$19.99,$19.99,No hay información,No dispone de promoción extra,"['Game', False, 'No hay información', 'No hay información']",USA
