id_juego,Titulo,Día y hora,Plataforma,Genero,Compañia,Lanzamiento,Idiomas,Calificación PSN,Número de calificaciones,Calificación 5 estrellas,Calificación 4 estrellas,Calificación 3 estrellas,Calificación 2 estrellas,Calificación 1 estrella,Precio original sin PSN,Precio actual sin PSN,Precio original con PSN,Precio actual con PSN
233112,Tom Clancy's Ghost Recon® Breakpoint,2024-02-22T15:22:59.198207,PS4,"Acción, Juegos de disparos, Juegos de disparos",UBISOFT ENTERTAINMENT SA,3/10/2019,"Alemán, Checo, Coreano, Español, Francés (Francia), Inglés, Italiano, Neerlandés, Polaco, Portugués (Brasil)",4.13,48.375 calificaciones,64 %,13 %,7 %,3 %,12 %,"69,99 €","10,49 €","69,99 €","10,49 €"
229066,Granblue Fantasy: Relink Standard Edition,2024-02-22T15:23:02.245786,"PS4, PS5","Juegos de rol, Acción","CYGAMES, INC.",28/1/2024,"Alemán, Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil)",4.71,9.461 calificaciones,86 %,6 %,2 %,1 %,4 %,"59,99 €","59,99 €","59,99 €","59,99 €"
231121,Overcooked! 2,2024-02-22T15:23:05.439055,PS4,"Casual, Familia, Grupo",Team 17 Digital LTD,6/8/2018,"Alemán, Chino (Simplificado), Coreano, Español, Francés (Francia), Inglés, Italiano, Japonés",4.5,9.235 calificaciones,76 %,12 %,5 %,1 %,6 %,"24,99 €",Incluido,"24,99 €",Incluido
231761,Diablo® IV - Standard Edition,2024-02-22T15:23:08.742726,"PS4, PS5",Únicos,"Blizzard Entertainment, Inc.",5/6/2023,No hay información,4.15,7.117 calificaciones,69 %,9 %,6 %,2 %,14 %,"109,99 €","65,99 €",,"65,99 €"
233407,Call of Duty®: Black Ops Cold War - Lote Multigeneracional PS4™ & PS5™,2024-02-22T15:23:11.859200,"PS4, PS5",Juegos de disparos,Activision Blizzard Int'l BV,12/11/2020,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Ruso",4.19,211.782 calificaciones,67 %,10 %,9 %,2 %,12 %,"74,99 €","74,99 €","74,99 €","74,99 €"
235235,Resident Evil Village PS4 & PS5,2024-02-22T15:23:17.636062,"PS4, PS5","Acción, Terror",CE EUROPE LIMITED,6/5/2021,"Alemán, Español, Español (México), Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Ruso, Árabe",4.72,22.047 calificaciones,84 %,9 %,4 %,1 %,2 %,"79,99 €","29,59 €",,"29,59 €"
10006305,MotoGP™23 PS4 & PS5,2024-02-22T15:23:21.094306,"PS4, PS5","Conducción/Carreras, Deporte",MILESTONE SRL,7/6/2023,"Alemán, Chino (Simplificado), Chino (Tradicional), Español, Francés (Francia), Inglés, Italiano, Japonés, Portugués (Brasil), Tailandés",3.11,1.115 calificaciones,37 %,10 %,13 %,9 %,32 %,"69,99 €","20,99 €","69,99 €",Incluido
234823,Tales of Arise PS4 & PS5,2024-02-22T15:23:25.856488,"PS4, PS5",Juegos de rol,BANDAI NAMCO ENTERTAINMENT EUROPE,9/9/2021,"Alemán, Español, Francés (Francia), Inglés, Italiano, Ruso",4.69,8.896 calificaciones,82 %,10 %,4 %,1 %,2 %,"39,99 €","14,79 €","39,99 €",Incluido
10000459,Riders Republic™ PS4 & PS5,2024-02-22T15:23:29.202140,"PS4, PS5",Deporte,UBISOFT ENTERTAINMENT SA,27/10/2021,"Alemán, Español, Francés (Francia), Inglés, Italiano, Polaco, Portugués (Brasil), Ruso",4.24,28.870 calificaciones,68 %,11 %,9 %,2 %,10 %,"39,99 €",Incluido,"39,99 €",Incluido
233410,Crash™ Team Racing Nitro-Fueled,2024-02-22T15:23:31.974121,PS4,"Acción, Conducción/Carreras",Activision Blizzard Int'l BV,7/7/2019,"Alemán, Español, Francés (Francia), Inglés, Italiano, Árabe",4.38,25.867 calificaciones,71 %,11 %,10 %,2 %,7 %,"69,99 €","24,49 €",,"24,49 €"
